HadCOPD,AlcoholDrinkers,SmokerStatus,GeneralHealth,DifficultyWalking,HadDiabetes,HighBloodPressure,HadStroke,BlindOrVisionDifficulty,AgeCategory,HighCholesterol,HadKidneyDisease,Sex,HadAngina
-0.025780108,0.08052789,-0.24957652,-0.35956982,-0.06410804,-0.07735616,0.26021954,-0.10820577,-0.014964499,0.070684075,-0.15610795,-0.028165847,-0.39798942,-0.5810798
-0.02613799,0.10892573,-0.22760436,-0.7438858,-0.079436675,-0.07927056,-0.34210742,-0.112620115,-0.024235813,0.10449249,-0.10855222,-0.027327009,-0.45680124,-0.69699883
0.03906139,-0.16552448,0.2913627,0.23331197,0.11882337,-0.069999225,0.12501022,-0.09281423,-0.03481474,0.3801498,0.10752904,-0.0089703305,0.21098502,-0.47399804
-0.0411462,-0.14030394,-0.20684671,-0.39428896,-0.100767784,0.24937837,0.3313065,-0.08616761,-0.014350384,-0.38253817,-0.15065548,-0.027012056,-0.359521,-0.6291024
-0.020044677,-0.13052702,-0.20749255,-0.412987,-0.079858094,-0.10546135,-0.28351334,-0.10679008,-0.009683907,-0.11059852,-0.15615936,-0.025880534,0.30762362,-0.6546266
-0.02107765,-0.12669466,-0.19254664,-0.00889631,-0.15001196,-0.08457477,-0.36494082,-0.124701016,-0.052984346,-1.383731,-0.12185864,-0.033759892,-0.2850896,-0.681009
-0.009716821,-0.07931387,-0.14533104,0.75763077,0.085163645,-0.0879833,0.115364805,-0.10387137,-0.011510373,0.68754727,-0.041624017,-0.014244327,-0.24214941,-0.5242315
-0.025938077,-0.14251295,-0.23076884,0.036333192,-0.06571751,-0.09859545,0.2952209,-0.11234787,-0.009889386,-0.3651549,-0.18279544,-0.026930308,0.27207085,-0.6262099
-0.046031203,0.14729145,-0.2129958,0.42716992,0.49510968,0.39065668,0.21935211,-0.09178529,0.20499972,-0.26885396,-0.13841152,-0.05962462,0.32148245,-0.54174745
-0.036065716,-0.074502446,-0.24108204,0.051980752,0.16870156,-0.09495045,0.26142693,-0.1136326,-0.019541949,-0.055243365,0.10454258,-0.025196278,-0.36080736,-0.54995316
0.02079338,0.14356622,0.44230413,0.22611542,-0.00082380587,-0.066135205,0.13899727,0.62883997,-0.01402137,0.056699365,0.1060611,-0.026947696,0.2514475,1.7641795
-0.03196702,-0.041972034,0.15048906,0.07007493,-0.03644227,0.05694321,0.2721545,-0.10225309,-0.012097689,0.18964247,0.13083643,-0.018147502,-0.3908844,-0.5848776
0.17056215,0.15759404,0.53348917,0.07511354,0.23746735,-0.1006745,0.21740752,-0.09764804,-0.022701902,0.08070152,-0.18285413,-0.032403305,0.30922323,-0.52790016
-0.032646976,0.22083479,-0.24158801,-0.65724444,-0.10307168,-0.08069054,-0.3559188,-0.09817997,-0.026899664,-0.6281931,0.11191053,-0.02333919,0.37472272,-0.7258088
-0.031151982,-0.06866063,-0.30558375,0.0012720786,-0.022697844,-0.06944292,-0.11703375,-0.08520892,-0.006784235,0.04786356,-0.124101065,-0.026597725,-0.36808318,2.415729
-0.005130653,-0.10528303,0.17002,0.51188344,0.100135215,-0.09770147,0.12385016,-0.1013428,-0.00198322,0.32921872,0.0667115,-0.0056785773,0.28852338,-0.5234733
-0.03261816,0.05411983,-0.22638555,0.048818894,-0.052746262,0.22395892,0.2249197,-0.09282817,-0.018099258,0.21990271,0.09236137,-0.012876944,-0.42064944,-0.5286615
-0.022761246,0.22804932,-0.18551214,-0.26234514,-0.12311325,-0.12582994,-0.35234076,-0.11186372,-0.029927263,-1.3418344,-0.14892544,-0.028956652,0.34149384,-0.6885268
-0.007975527,-0.06707133,0.16251269,0.41825998,-0.025239935,-0.08320271,0.19513357,-0.10923016,-0.003451894,0.2890154,0.14213948,-0.021777686,0.29798037,-0.5329585
-0.039738823,-0.117675565,0.10881263,-0.38876194,-0.053867202,-0.056556683,0.36504805,-0.086291716,-0.011346441,-0.32777628,0.15509215,-0.034052577,-0.33295846,-0.6618059
-0.030473385,0.047467202,0.14727187,0.049634274,-0.04601459,-0.014086467,0.26455733,-0.08499321,-0.042391326,0.15260594,0.111237496,0.22453032,-0.3977376,-0.5869576
-0.016839525,-0.10675908,-0.22874027,0.06582598,-0.05289022,-0.10293695,0.25338942,-0.12552296,-0.008481453,0.013312095,-0.18325834,-0.024589615,0.28529269,-0.56962544
-0.01872543,0.10868842,-0.28410622,-0.07402991,0.13201469,0.21846117,0.08592258,-0.085437484,-0.0130947605,0.03495292,0.06689771,-0.015725153,0.33812475,1.8612142
-0.026666788,0.06959233,-0.25703228,-0.33887112,-0.043352615,-0.06954874,0.22710216,-0.10589134,-0.01736487,0.20659722,0.122506686,-0.019243255,-0.43067458,-0.5698408
-0.02221356,-0.1788978,0.07502992,-0.30683768,-0.11968774,-0.094035186,0.3911894,-0.12479969,-0.027130703,-1.343357,-0.21450344,-0.037997995,0.2652608,-0.6788508
0.27319396,0.12899718,0.4036428,0.70872957,0.3257291,0.35577333,-0.15724988,-0.072544605,-0.030146373,-0.08110453,-0.077354535,-0.032523282,-0.31034455,-0.57145983
-0.036961127,-0.102882296,-0.252701,0.03833702,-0.04280279,-0.0690729,0.34815487,-0.101453915,-0.015272951,-0.33384305,0.1431295,-0.029000737,-0.32529527,-0.6246553
0.1471102,0.102731496,0.56353116,0.07751351,-0.008980842,-0.049815767,0.20310566,-0.09509312,-0.034585554,0.3730441,0.118993305,-0.011633196,-0.32378906,-0.5509203
-0.027675925,-0.07234714,-0.2609913,-0.3673205,-0.04408465,-0.06985528,0.28339806,-0.11065883,-0.013045368,0.12524116,0.14399368,-0.026964115,-0.40107554,-0.5760626
-0.041918926,-0.12755424,-0.24377207,-0.37967548,-0.06935925,-0.063239336,-0.35672337,-0.088703096,-0.018068595,-0.43337438,0.12086602,-0.030008664,-0.355227,-0.7018356
0.12252125,-0.087429985,0.17428143,0.096205965,-0.043901786,-0.08660214,-0.20835814,-0.08617363,-0.012568576,0.40284902,0.107813306,-0.0148698315,0.28427026,-0.58491695
-0.01747185,-0.2115327,-0.20883398,-0.30466703,-0.124471985,-0.10526277,-0.34100357,-0.12245772,-0.033670668,-1.5088462,-0.15447971,-0.02991243,0.28275922,-0.70565885
-0.034213435,0.05510641,0.11634564,0.053937607,-0.042427815,-0.07821676,0.20276041,-0.10389335,-0.012078795,0.24024177,-0.1503037,-0.021955876,-0.36282948,-0.56876296
-0.024975277,0.08405507,-0.19642964,-0.28819174,-0.05972589,-0.07052994,0.18825705,-0.09423513,-0.016303463,0.8668269,-0.12609327,-0.019278266,-0.35482675,-0.54708284
-0.026131354,0.0831338,0.11279422,0.061138757,-0.07146573,0.30473816,0.21556261,-0.086306944,-0.0049386662,0.19484457,-0.1381137,-0.021790842,0.36105374,-0.5474677
-0.026097119,-0.07111169,-0.24994111,-0.34920666,-0.041798405,-0.0737969,0.23134029,-0.11199487,-0.011765573,0.24288328,0.13148963,-0.018446501,-0.408673,-0.5664802
-0.025312264,0.120959364,0.087174945,-0.25302374,-0.07392592,-0.088769704,-0.1411204,-0.07745691,-0.008050347,1.0281273,-0.14453427,-0.025018234,0.35195464,-0.57066905
-0.04607395,0.104848266,-0.22566208,0.028324602,-0.067752734,0.22660017,0.35500243,-0.074869335,-0.019514479,-0.27300543,0.11493608,-0.022159966,-0.40548658,-0.6010833
-0.023307167,0.1389168,-0.15116026,-0.18855886,-0.17693932,-0.1267737,-0.39925462,-0.11261973,-0.03057098,-1.5071319,-0.15090597,-0.02916003,0.3694753,-0.6874543
0.03371122,-0.14812921,0.1885859,0.36496744,0.20989625,0.22666466,0.15465389,-0.08853361,-0.037021227,0.10043061,0.054258876,0.09259175,0.2675932,-0.4960564
-0.032182284,-0.08741248,0.100394875,-0.8759193,-0.06156656,-0.064316474,-0.39119852,-0.09981393,-0.020143513,0.18247792,0.12278777,-0.028295936,-0.44409308,-0.72550637
-0.040003017,0.1021681,0.075511865,-0.31602043,-0.07241515,-0.0756013,-0.20849651,-0.077335544,0.14854406,0.3061743,-0.15381376,-0.03591329,-0.382404,-0.6266458
-0.016839525,-0.10675908,-0.22874027,0.06582598,-0.05289022,-0.10293695,0.25338942,-0.12552296,-0.008481453,0.013312095,-0.18325834,-0.024589615,0.28529269,-0.56962544
-0.039724056,-0.16508363,0.48710978,-0.41945553,-0.10260656,-0.04919229,-0.37920132,-0.09920813,-0.05088845,-0.9559536,-0.17435603,-0.030524,-0.30703688,-0.7367666
-0.021945199,-0.17353368,0.5643258,0.08894111,-0.072731376,-0.074416585,-0.3156856,-0.09044382,-0.05090267,-0.63281107,-0.17979112,-0.028416004,0.25517154,-0.6995799
-0.030786475,-0.18756376,-0.19552048,-0.42448965,-0.1181838,-0.07476016,-0.3193304,-0.1080938,-0.023201723,-1.1316136,-0.14304131,-0.029586403,0.26016963,-0.72949713
-0.037718743,0.06382834,-0.2234836,0.060973216,-0.058393378,0.2332974,0.29975426,-0.09227671,-0.019665109,0.0155812185,0.111818366,-0.019268172,-0.4169038,-0.54354614
-0.027458053,-0.085364066,-0.23490186,-0.36716813,-0.07469844,-0.08027348,-0.28042203,-0.106033884,-0.011082663,0.13826425,-0.13795744,-0.02819706,-0.39996287,-0.6383886
-0.024293052,-0.06256734,0.102007195,0.6516265,0.04073091,-0.082866505,0.12008504,-0.0917641,-0.014050332,0.57682645,0.05537318,-0.013973195,-0.27344707,-0.51894027
-0.022595642,0.07336128,-0.26258877,0.43523705,0.18127936,-0.056415807,0.2197317,-0.09835428,-0.048688393,0.0749445,0.06877295,0.3351645,-0.4042082,-0.52829677
-0.004840425,-0.054716118,-0.17087588,0.015360255,0.12654406,-0.06495452,0.21460678,1.1322201,-0.009164425,0.15672335,0.09830356,-0.008949516,0.32809395,-0.44759715
-0.044128813,0.1319086,0.052485198,-0.41537806,-0.10674049,-0.0619267,-0.34306365,-0.10249689,-0.038361646,-1.101308,-0.13584195,-0.03861485,-0.41305205,-0.72717345
-0.019278219,0.13027674,-0.2246884,-0.38020355,-0.073427886,-0.10202086,0.26856768,-0.1114481,-0.009700501,-0.09199696,-0.18196784,-0.027570304,0.32681876,-0.5844845
-0.027268091,-0.07815398,0.2073024,-0.36264512,-0.04585846,0.22248435,0.085254826,-0.06921608,-0.003960256,0.119928904,-0.13182832,-0.020607201,-0.35832337,2.2465723
-0.011413987,-0.12336279,0.6357945,-0.28278306,-0.041481268,-0.050734963,0.23663925,-0.1105436,-0.023007128,0.26566204,-0.20872036,-0.016094055,-0.32249105,-0.58702636
-0.025261052,0.019742116,-0.17518197,-0.047629904,-0.1478846,-0.10851228,-0.41339663,-0.114005715,-0.053106356,-1.7560363,-0.12766998,-0.03345473,-0.39027315,-0.6680876
-0.033813,0.100684084,0.5636446,0.106392704,-0.07379129,-0.058101956,-0.37197834,-0.0875251,-0.04752286,-0.8060916,-0.17511413,-0.04140118,-0.29096103,-0.6959209
-0.029470777,-0.07462361,0.09436629,-0.6942341,-0.04509541,-0.07555429,0.32630676,-0.109592445,-0.0153728,0.24982989,0.13451995,-0.018760305,-0.4089907,-0.6517887
-0.030375846,0.09502526,-0.22844923,-0.33000877,0.2982129,-0.09794632,0.23232438,-0.0994145,-0.021107009,-0.1679461,-0.115808144,-0.036560796,-0.38134274,-0.5756296
-0.017563738,0.010660842,-0.20007975,0.2870474,0.13698669,-0.0572964,0.19107239,1.005765,-0.009342213,0.25947732,-0.07552684,-0.021084255,-0.3801767,-0.4464732
